archivo,producto_id,nombre,tipo,estado,defecto,faena,url
dataset/dado_de_baja/525747_1.jpg,525747,CANCAMO MECANICO / M16,Eslinga Circular (Tubular) Estandar,Dado de baja,area: TALLER MOTORES VASTAGO DEFORMADO,Coquimbo,https://doland.cl/files/imagenes_ipad/tal05qus2yb6mxj525747.jpg
dataset/dado_de_baja/525747_2.jpg,525747,CANCAMO MECANICO / M16,Eslinga Circular (Tubular) Estandar,Dado de baja,area: TALLER MOTORES VASTAGO DEFORMADO,Coquimbo,https://doland.cl/files/imagenes_ipad/3p2imk61tfds7y8525747.jpg
dataset/dado_de_baja/525747_3.jpg,525747,CANCAMO MECANICO / M16,Eslinga Circular (Tubular) Estandar,Dado de baja,area: TALLER MOTORES VASTAGO DEFORMADO,Coquimbo,https://doland.cl/files/imagenes_ipad/bl7go4pufzs9mi3525747.jpg
dataset/dado_de_baja/525747_4.jpg,525747,CANCAMO MECANICO / M16,Eslinga Circular (Tubular) Estandar,Dado de baja,area: TALLER MOTORES VASTAGO DEFORMADO,Coquimbo,https://doland.cl/files/imagenes_ipad/bo0qu7mxf2lsdcp525747.jpg
dataset/dado_de_baja/525748_1.jpg,525748,CANCAMO MECANICO / M16,Eslinga Circular (Tubular) Estandar,Dado de baja,vastago deformado,Coquimbo,https://doland.cl/files/imagenes_ipad/vh96qoutl37dk51525748.jpg
dataset/dado_de_baja/525748_2.jpg,525748,CANCAMO MECANICO / M16,Eslinga Circular (Tubular) Estandar,Dado de baja,vastago deformado,Coquimbo,https://doland.cl/files/imagenes_ipad/q9y1mlrht58uk2i525748.jpg
dataset/dado_de_baja/525748_3.jpg,525748,CANCAMO MECANICO / M16,Eslinga Circular (Tubular) Estandar,Dado de baja,vastago deformado,Coquimbo,https://doland.cl/files/imagenes_ipad/qo6ldywrt0e1z32525748.jpg
dataset/dado_de_baja/525748_4.jpg,525748,CANCAMO MECANICO / M16,Eslinga Circular (Tubular) Estandar,Dado de baja,vastago deformado,Coquimbo,https://doland.cl/files/imagenes_ipad/5axndpvcsy23foj525748.jpg
dataset/dado_de_baja/525749_1.jpg,525749,CANCAMO MECANICO / M16,Eslinga Circular (Tubular) Estandar,Dado de baja,vastago deformado,Coquimbo,https://doland.cl/files/imagenes_ipad/g5idrxmkz7ue1wl525749.jpg
dataset/dado_de_baja/525749_2.jpg,525749,CANCAMO MECANICO / M16,Eslinga Circular (Tubular) Estandar,Dado de baja,vastago deformado,Coquimbo,https://doland.cl/files/imagenes_ipad/09g7k2hyrf5svj8525749.jpg
dataset/dado_de_baja/525749_3.jpg,525749,CANCAMO MECANICO / M16,Eslinga Circular (Tubular) Estandar,Dado de baja,vastago deformado,Coquimbo,https://doland.cl/files/imagenes_ipad/txlwi179caqn6uz525749.jpg
dataset/dado_de_baja/525749_4.jpg,525749,CANCAMO MECANICO / M16,Eslinga Circular (Tubular) Estandar,Dado de baja,vastago deformado,Coquimbo,https://doland.cl/files/imagenes_ipad/a9j5wdx1ur64qpi525749.jpg
dataset/dado_de_baja/525750_1.jpg,525750,"Eslinga Plana 2 Capas Ojo Ojo / 1.000 kg / 1,5 m / 30 mm",,Dado de baja,,Coquimbo,https://doland.cl/files/imagenes_ipad/obqa3ls2cjz0krv525750.jpg
dataset/dado_de_baja/525750_2.jpg,525750,"Eslinga Plana 2 Capas Ojo Ojo / 1.000 kg / 1,5 m / 30 mm",,Dado de baja,,Coquimbo,https://doland.cl/files/imagenes_ipad/cauhk30pob2wfzl525750.jpg
dataset/dado_de_baja/525750_3.jpg,525750,"Eslinga Plana 2 Capas Ojo Ojo / 1.000 kg / 1,5 m / 30 mm",,Dado de baja,,Coquimbo,https://doland.cl/files/imagenes_ipad/4yt2iknz07lh56m525750.jpg
